characters,text,volume,part,chapter
Николай Ростов; Наташа; Андрей Болконский,"— Ну, теперь поговорим. Поздравляю тебя с женишком. Подцепила молодца! Я РАДА за тебя; и его с таких лет знаю (она указала на аршин от земли). — Наташа РАДОСТНО краснела. — Я его люблю и всю семью его. Теперь слушай. Ты ведь знаешь, старик князь Николай очень не желал, чтобы сын женился. Нравный старик! Оно, разумеется, князь Андрей не дитя и без него обойдется, да против воли в семью входить нехорошо. Надо мирно, любовно. Ты умница, сумеешь обойтись, как надо. Ты добренько и умненько обойдись. Вот все и хорошо будет.",Том второй,Часть пятая,VI
Наташа; Андрей Болконский,"Только приехав домой, Наташа могла ясно обдумать все то, что с ней было, и, вдруг вспомнив о князе Андрее, она ужаснулась и при всех, за чаем, за который все сели после театра, громко ахнула и, раскрасневшись, выбежала из комнаты. «Боже мой! Я погибла! — сказала она себе. — Как я могла допустить до этого?» — думала она. Долго она сидела, закрыв раскрасневшееся лицо руками, стараясь дать себе ясный отчет в том, что было с нею, и не могла ни понять того, что с ней было, ни того, что она чувствовала. Все казалось ей темно, неясно и страшно. Там, в этой огромной освещенной зале, где по мокрым доскам прыгал под музыку с голыми ногами Duport в курточке с блестками, и девицы, и старики, и голая, с спокойной и гордой улыбкой Элен в ВОСТОРГЕ кричали браво, — там, под тенью этой Элен, там это было все ясно и просто; но теперь одной, самой с собой, это было непонятно. «Что это такое? Что такое этот страх, который я испытывала к нему? Что такое эти угрызения совести, которые я испытываю теперь?» — думала она.",Том второй,Часть пятая,X
Марья; Наташа; Андрей Болконский,"Следующий после театра день Ростовы никуда не ездили, и никто не приезжал к ним. Марья Дмитриевна о чем-то скрывая от Наташи, переговаривалась с ее отцом. Наташа догадывалась, что они говорили о старом князе и что-то придумывали, и ее беспокоило и оскорбляло это. Она всякую минуту ждала князя Андрея и два раза в этот день посылала дворника на Вздвиженку узнавать, не приехал ли он. Он не приезжал. Ей было теперь тяжелее, чем первые дни своего приезда. К нетерпению и грусти ее о нем присоединились неприятное воспоминание о свидании с княжной Марьей и с старым князем и страх и беспокойство, которым она не знала причины. Ей все казалось, что или он никогда не приедет, или что, прежде чем он приедет, с ней случится что-нибудь. Она не могла, как прежде, спокойно и продолжительно, одна сама с собой, думать о нем. Как только она начинала думать о нем, к воспоминанию о нем присоединялось воспоминание о старом князе, о княжне Марье, и о последнем спектакле, и о Курагине. Ей опять представлялся вопрос, не виновата ли она, не нарушена ли уже ее верность князю Андрею, и опять она заставала себя до малейших подробностей воспоминающею каждое слово, каждый жест, каждый оттенок игры выражения на лице этого человека, умевшего возбудить в ней непонятное для нее и страшное чувство. На взгляд домашних, Наташа казалась оживленнее обыкновенного, но она далеко была не так спокойна и СЧАСТЛИВА, как была прежде.",Том второй,Часть пятая,XII
Марья; Наташа; Андрей Болконский,"После обеда Наташа ушла в свою комнату и опять взяла письмо княжны Марьи. «Неужели все уже кончено? — думала она. — Неужели так скоро все это случилось и уничтожило все прежнее?» Она во всей прежней силе вспоминала свою любовь к князю Андрею и вместе с тем чувствовала, что любила Курагина. Она живо представляла себя женою князя Андрея, представляла себе столько раз повторенную ее воображением картину СЧАСТИЯ с ним и вместе с тем, разгораясь от волнения, представляла себе все подробности своего вчерашнего свидания с Анатолем.",Том второй,Часть пятая,XIV
Марья; Пьер Безухов; Андрей Болконский; Наташа,"Князь Андрей приехал вечером накануне. Пьер приехал к нему на другое утро. Пьер ожидал найти князя Андрея почти в том же положении, в котором была и Наташа, и потому он был удивлен, когда, войдя в гостиную, услыхал из кабинета громкий голос князя Андрея, оживленно говорившего что-то о какой-то петербургской интриге. Старый князь и другой чей-то голос изредка перебивали его. Княжна Марья вышла навстречу к Пьеру. Она вздохнула, указывая глазами на дверь, где был князь Андрей, видимо желая выразить свое сочувствие к его горю; но Пьер видел по лицу княжны Марьи, что она была РАДА и тому, что случилось, и тому, как ее брат принял известие об измене невесты.",Том второй,Часть пятая,XXI
Марья; Пьер Безухов; Андрей Болконский,"Старик казался оживленнее обыкновенного. Княжна Марья была такая же, как и всегда, но из-за сочувствия к брату Пьер видел в ней РАДОСТЬ к тому, что свадьба ее брата расстроилась. Глядя на них, Пьер понял, какое презрение и злобу они имели все против Ростовых, и понял, что нельзя было при них даже и упоминать имя той, которая могла на кого бы то ни было променять князя Андрея.",Том второй,Часть пятая,XXI
Николай Ростов; Пьер Безухов; Андрей Болконский,"Князь Андрей считал неудобным писать к Курагину и вызывать его. Не подав нового повода к дуэли, князь Андрей считал вызов с своей стороны компрометирующим графиню Ростову, и потому он искал личной встречи с Курагиным, в которой он намерен был найти новый повод к дуэли. Но в Турецкой армии ему также не удалось встретить Курагина, который вскоре после приезда князя Андрея в Турецкую армию вернулся в Россию. В новой стране и в новых условиях жизни князю Андрею стало жить легче. После измены своей невесты, которая тем сильнее поразила его, чем старательнее он скрывал ото всех произведенное на него действие, для него были тяжелы те условия жизни, в которых он был СЧАСТЛИВ, и еще тяжелее были свобода и независимость, которыми он так дорожил прежде. Он не только не думал тех прежних мыслей, которые в первый раз пришли ему, глядя на небо на Аустерлицком поле, которые он любил развивать с Пьером и которые наполняли его уединение в Богучарове, а потом в Швейцарии и Риме; но он даже боялся вспоминать об этих мыслях, раскрывавших бесконечные и светлые горизонты. Его интересовали теперь только самые ближайшие, не связанные с прежними, практические интересы, за которые он ухватывался с тем большей жадностью, чем закрытее были от него прежние. Как будто тот бесконечный удаляющийся свод неба, стоявший прежде над ним, вдруг превратился в низкий, определенный, давивший его свод, в котором все было ясно, но ничего не было вечного и таинственного.",Том третий,Часть первая,VIII
Марья; Андрей Болконский,"Прежде чем ехать в армию, находившуюся в мае в Дрисском лагере, князь Андрей заехал в Лысые Горы, которые были на самой его дороге, находясь в трех верстах от Смоленского большака. Последние три года в жизни князя Андрея было так много переворотов, так много он передумал, перечувствовал, перевидел (он объехал и запад и восток), что его странно и неожиданно поразило при въезде в Лысые Горы все точно то же, до малейших подробностей, — точно то же течение жизни. Он, как в заколдованный, заснувший за́мок, въехал в аллею и в каменные ворота лысогорского дома. Та же степенность, та же чистота, та же тишина были в этом доме, те же мебели, те же стены, те же звуки, тот же запах и те же робкие лица, только несколько постаревшие. Княжна Марья была все та же робкая, некрасивая, стареющая девушка, в страхе и вечных нравственных страданиях, без пользы и РАДОСТИ проживающая лучшие годы своей жизни. Bourienne была та же РАДОСТНО пользующаяся каждой минутой своей жизни и исполненная самых для себя РАДОСТНЫХ надежд, довольная собой, кокетливая девушка. Она только стала увереннее, как показалось князю Андрею. Привезенный им из Швейцарии воспитатель Десаль был одет в сюртук русского покроя, коверкая язык, говорил по-русски со слугами, но был все тот же ограниченно-умный, образованный, добродетельный и педантический воспитатель. Старый князь переменился физически только тем, что с боку рта у него стал заметен недостаток одного зуба; нравственно он был все такой же, как и прежде, только с еще бо́льшим озлоблением и недоверием к действительности того, что происходило в мире. Один только Николушка вырос, переменился, разрумянился, оброс курчавыми темными волосами и, сам не зная того, смеясь и веселясь, поднимал верхнюю губку хорошенького ротика точно так же, как ее поднимала покойница маленькая княгиня. Он один не слушался закона неизменности в этом заколдованном, спящем за́мке. Но хотя по внешности все оставалось по-старому, внутренние отношения всех этих лиц изменились, с тех пор как князь Андрей не видал их. Члены семейства были разделены на два лагеря, чуждые и враждебные между собой, которые сходились теперь только при нем, — для него изменяя свой обычный образ жизни. К одному принадлежали старый князь, m-lle Bourienne и архитектор, к другому — княжна Марья, Десаль, Николушка и все няньки и мамки.",Том третий,Часть первая,VIII
Марья; Андрей Болконский,"— André, об одном я прошу, я умоляю тебя, — сказала она, дотрогиваясь до его локтя и сияющими сквозь слезы глазами глядя на него. — Я понимаю тебя (княжна Марья опустила глаза). Не думай, что горе сделали люди. Люди — орудие его. — Она взглянула немного повыше головы князя Андрея тем уверенным, привычным взглядом, с которым смотрят на знакомое место портрета. — Горе послано им, а не людьми. Люди — его орудия, они не виноваты. Ежели тебе кажется, что кто-нибудь виноват перед тобой, забудь это и прости. Мы не имеем права наказывать. И ты поймешь СЧАСТЬЕ прощать.",Том третий,Часть первая,VIII
Соня; Андрей Болконский,"Когда молились за воинство, она вспомнила брата и Денисова. Когда молились за плавающих и путешествующих, она вспомнила князя Андрея и молилась за него, и молилась за то, чтобы Бог простил ей то зло, которое она ему сделала. Когда молились за любящих нас, она молилась о своих домашних, об отце, матери, Соне, в первый раз теперь понимая всю свою вину перед ними и чувствуя всю силу своей любви к ним. Когда молились о ненавидящих нас, она придумала себе врагов и ненавидящих для того, чтобы молиться за них. Она причисляла к врагам кредиторов и всех тех, которые имели дело с ее отцом, и всякий раз, при мысли о врагах и ненавидящих, она вспоминала Анатоля, сделавшего ей столько зла, и хотя он не был ненавидящий, она РАДОСТНО молились за него как за врага. Только на молитве она чувствовала себя в силах ясно и спокойно вспоминать и о князе Андрее и об Анатоле, как об людях, к которым чувства ее уничтожались в сравнении с ее чувством страха и благоговения к Богу. Когда молились за царскую фамилию и за синод, она особенно низко кланялась и крестилась, говоря себе, что, ежели она не понимает, она не может сомневаться и все-таки любит Правительствующий синод и молится за него.",Том третий,Часть первая,XVIII
Наташа; Андрей Болконский,"Он закрыл глаза. Одни образы сменялись другими. На одном он долго, РАДОСТНО остановился. Он живо вспомнил один вечер в Петербурге. Наташа с оживленным, взволнованным лицом рассказывала ему, как она в прошлое лето, ходя за грибами, заблудилась в большом лесу. Она несвязно описывала ему и глушь леса, и свои чувства, и разговоры с пчельником, которого она встретила, и, всякую минуту прерываясь в своем рассказе, говорила: «Нет, не могу, я не так рассказываю; нет, вы не понимаете», — несмотря на то, что князь Андрей успокоивал ее, говоря, что он понимает, и действительно понимал все, что она хотела сказать. Наташа была недовольна своими словами, — она чувствовала, что не выходило то страстно-поэтическое ощущение, которое она испытала в этот день и которое она хотела выворотить наружу. «Это такая прелесть был этот старик, и темно так в лесу... и такие добрые у него... нет, я не умею рассказать», — говорила она, краснея и волнуясь. Князь Андрей улыбнулся теперь той же РАДОСТНОй улыбкой, которой он улыбался тогда, глядя ей в глаза. «Я понимал ее, — думал князь Андрей. — Не только понимал, но эту-то душевную силу, эту искренность, эту открытость душевную, эту-то душу ее, которую как будто связывало тело, эту-то душу я и любил в ней... так сильно, так СЧАСТЛИВО любил...» И вдруг он вспомнил о том, чем кончилась его любовь. «Ему ничего этого не нужно было. Он ничего этого не видел и не понимал. Он видел в ней хорошенькую и свеженькую девочку, с которою он не удостоил связать свою судьбу. А я? И до сих пор он жив и весел».",Том третий,Часть вторая,XXV
Марья; Андрей Болконский,"— Я никогда не РАДОВАЛАСЬ тогда, — сказала графиня, — когда Болконский был женихом Наташи, а я всегда желала, и у меня есть предчувствие, что Николинька женится на княжне. И как бы это хорошо было!",Том третий,Часть третья,XII
Наташа; Андрей Болконский,"Наташа редко испытывала столь РАДОСТНОЕ чувство, как то, которое она испытывала теперь, сидя в карете подле графини и глядя на медленно подвигавшиеся мимо нее стены оставляемой, встревоженной Москвы. Она изредка высовывалась в окно кареты и глядела назад и вперед на длинный поезд раненых, предшествующий им. Почти впереди всех виднелся ей закрытый верх коляски князя Андрея. Она не знала, кто был в ней, и всякий раз, соображая область своего обоза, отыскивала глазами эту коляску. Она знала, что она была впереди всех.",Том третий,Часть третья,XVII
Наташа; Андрей Болконский,"Глаза эти, налитые СЧАСТЛИВЫМИ слезами, робко, сострадательно и РАДОСТНО-любовно смотрели на него. Худое и бледное лицо Наташи с распухшими губами было более чем некрасиво, оно было страшно. Но князь Андрей не видел этого лица, он видел сияющие глаза, которые были прекрасны. Сзади их послышался говор.",Том третий,Часть третья,XXXII
Николай Ростов; Марья; Андрей Болконский,"Во время короткого визита Николая, как и всегда, где есть дети, в минуту молчания Николай прибег к маленькому сыну князя Андрея, лаская его и спрашивая, хочет ли он быть гусаром? Он взял на руки мальчика, весело стал вертеть его и оглянулся на княжну Марью. Умиленный, СЧАСТЛИВЫЙ и робкий взгляд следил за любимым ею мальчиком на руках любимого человека. Николай заметил и этот взгляд, и, как бы поняв его значение, покраснел от удовольствия и добродушно весело стал целовать мальчика.",Том четвертый,Часть первая,VI
Соня; Наташа; Николай Ростов; Марья; Андрей Болконский,"Хлопоты и ужас последних дней пребывания Ростовых в Москве заглушили в Соне тяготившие ее мрачные мысли. Она РАДА была находить спасение от них в практической деятельности. Но когда она узнала о присутствии в их доме князя Андрея, несмотря на всю искреннюю жалость, которую она испытывала к нему и к Наташе, РАДОСТНОЕ и суеверное чувство того, что Бог не хочет того, чтобы она была разлучена с Nicolas, охватило ее. Она знала, что Наташа любила одного князя Андрея и не переставала любить его. Она знала, что теперь, сведенные вместе в таких страшных условиях, они снова полюбят друг друга и что тогда Николаю вследствие родства, которое будет между ними, нельзя будет жениться на княжне Марье. Несмотря на весь ужас всего происходившего в последние дни и во время первых дней путешествия, это чувство, это сознание вмешательства провидения в ее личные дела РАДОВАЛО Соню.",Том четвертый,Часть первая,VIII
Соня; Наташа; Николай Ростов; Марья; Андрей Болконский,"Соня была размягчена, взволнована и умилена всем тем, что происходило в этот день, в особенности тем таинственным совершением гаданья, которое она сейчас видела. Теперь, когда она знала, что по случаю возобновления отношений Наташи с князем Андреем Николай не мог жениться на княжне Марье, она с РАДОСТЬЮ почувствовала возвращение того настроения самопожертвования, в котором она любила и привыкла жить. И со слезами на глазах и с РАДОСТЬЮ сознания совершения великодушного поступка она, несколько раз прерываясь от слез, которые отуманивали ее бархатные черные глаза, написала то трогательное письмо, получение которого так поразило Николая.",Том четвертый,Часть первая,VIII
Николай Ростов; Марья; Наташа; Андрей Болконский,"В последнее время своего пребывания в Воронеже княжна Марья испытала лучшее СЧАСТЬЕ в своей жизни. Любовь ее к Ростову уже не мучила, не волновала ее. Любовь эта наполняла всю ее душу, сделалась нераздельною частью ее самой, и она не боролась более против нее. В последнее время княжна Марья убедилась, — хотя она никогда ясно словами определенно не говорила себе этого, — убедилась, что она была любима и любила. В этом она убедилась в последнее свое свидание с Николаем, когда он приехал ей объявить о том, что ее брат был с Ростовыми. Николай ни одним словом не намекнул на то, что теперь (в случае выздоровления князя Андрея) прежние отношения между ним и Наташей могли возобновиться, но княжна Марья видела по его лицу, что он знал и думал это. И, несмотря на то, его отношения к ней — осторожные, нежные и любовные — не только не изменились, но он, казалось, РАДОВАЛСЯ тому, что теперь родство между ним и княжной Марьей позволяло ему свободнее выражать ей свою дружбу-любовь, как иногда думала княжна Марья. Княжна Марья знала, что она любила в первый и последний раз в жизни, и чувствовала, что она любима, и была СЧАСТЛИВА, спокойна в этом отношении.",Том четвертый,Часть первая,XIV
Николай Ростов; Марья; Андрей Болконский,"— А ты встретилась с графом Николаем, Мари? — сказал вдруг князь Андрей, видимо желая сделать им приятное. — Он писал сюда, что ты ему очень полюбилась, — продолжал он просто, спокойно, видимо не в силах понимать всего того сложного значения, которое имели его слова для живых людей. — Ежели бы ты его полюбила тоже, то было бы очень хорошо... чтобы вы женились, — прибавил он несколько скорее, как бы ОБРАДОВАННЫЙ словами, которые он долго искал и нашел наконец. Княжна Марья слышала его слова, но они не имели для нее никакого другого значения, кроме того, что они доказывали то, как страшно далек он был теперь от всего живого.",Том четвертый,Часть первая,XV
Марья; Андрей Болконский,"Князь Андрей чуть заметно улыбнулся в первый раз, но княжна Марья, так знавшая его лицо, с ужасом поняла, что это была улыбка не РАДОСТИ, не нежности к сыну, но тихой, кроткой насмешки над тем, что княжна Марья употребляла, по ее мнению, последнее средство для приведения его в чувства.",Том четвертый,Часть первая,XV
Пьер Безухов; Андрей Болконский,"Теперь он часто вспоминал свой разговор с князем Андреем и вполне соглашался с ним, только несколько иначе понимая мысль князя Андрея. Князь Андрей думал и говорил, что СЧАСТЬЕ бывает только отрицательное, но он говорил это с оттенком горечи и иронии. Как будто, говоря это, он высказывал другую мысль — о том, что все вложенные в нас стремленья к СЧАСТЬЮ положительному вложены только для того, чтобы, не удовлетворяя, мучить нас. Но Пьер без всякой задней мысли признавал справедливость этого. Отсутствие страданий, удовлетворение потребностей и вследствие того свобода выбора занятий, то есть образа жизни, представлялись теперь Пьеру несомненным и высшим СЧАСТЬЕм человека. Здесь, теперь только, в первый раз Пьер вполне оценил наслажденье еды, когда хотелось есть, питья, когда хотелось пить, сна, когда хотелось спать, тепла, когда было холодно, разговора с человеком, когда хотелось говорить и послушать человеческий голос. Удовлетворение потребностей — хорошая пища, чистота, свобода — теперь, когда он был лишен всего этого, казались Пьеру совершенным СЧАСТИЕМ, а выбор занятия, то есть жизнь, теперь, когда выбор этот был так ограничен, казались ему таким легким делом, что он забывал то, что избыток удобств жизни уничтожает все СЧАСТИЕ удовлетворения потребностей, а большая свобода выбора занятий, та свобода, которую ему в его жизни давали образование, богатство, положение в свете, что эта-то свобода и делает выбор занятий неразрешимо трудным и уничтожает самую потребность и возможность занятия.",Том четвертый,Часть вторая,XII
Николай Ростов; Пьер Безухов,"— А! Граф Ростов! — РАДОСТНО заговорил Пьер. — Так вы его сын, Илья. Я, можете себе представить, в первую минуту не узнал вас. Помните, как мы на Воробьевы горы ездили с m-me Jacquot... давно.",Том первый,Часть первая,XIII
Пьер Безухов; Наташа,"Пока расстанавливались пары и строили музыканты, Пьер сел с своей маленькой дамой. Наташа была совершенно СЧАСТЛИВА: она танцевала с большим, с приехавшим из-за границы. Она сидела на виду у всех и разговаривала с ним, как большая. У нее в руке был веер, который ей дала подержать одна барышня. И, приняв самую светскую позу (Бог знает, где и когда она этому научилась), она, обмахиваясь веером и улыбаясь через веер, говорила с своим кавалером.",Том первый,Часть первая,XVII
Николай Ростов; Пьер Безухов,"— Что ж вы? — закричал ему Ростов, ВОСТОРЖЕННО-озлобленными глазами глядя на него. — Разве вы не слышите: здоровье государя императора! — Пьер, вздохнув, покорно встал, выпил свой бокал и дождавшись, когда все сели, с своей доброй улыбкой обратился к Ростову.",Том второй,Часть первая,IV
Соня; Пьер Безухов; Наташа; Николай Ростов; Марья,"У Иогеля были самые веселые балы в Москве. Это говорили матушки, глядя на своих adolescentes 1, выделывающих свои только что выученные па; это говорили и сами adolescentes и adolescents 2, танцевавшие до упаду; это говорили взрослые девицы и молодые люди, приезжавшие на эти балы с мыслию снизойти до них и находя в них самое лучшее веселье. В этот же год на этих балах сделалось два брака. Две хорошенькие княжны Горчаковы нашли женихов и вышли замуж, и тем еще более пустили в славу эти балы. Особенного на этих балах было то, что не было хозяина и хозяйки: был, как пух летающий, по правилам искусства расшаркивающийся добродушный Иогель, который принимал билетики за уроки от всех своих гостей; было то, что на эти балы еще езжали только те, кто хотел танцевать и веселиться, как хотят этого тринадцати- и четырнадцатилетние девочки, в первый раз надевающие длинные платья. Все, за редкими исключениями, были или казались хорошенькими: так ВОСТОРОЖЕННО они все улыбались и так разгорались их глазки. Иногда танцовывали даже pas de châle лучшие ученицы, из которых лучшая была Наташа, отличавшаяся своею грациозностью; но на этом, последнем бале танцевали только экосезы, англезы и только что входящую в моду мазурку. Зала была взята Иогелем в доме Безухова, и бал очень удался, как говорили все. Много было хорошеньких девочек, Ростовы барышни были из лучших. Они обе были особенно СЧАСТЛИВЫ и веселы в этот вечер. Соня, гордая предложением Долохова, своим отказом и объяснением с Николаем, кружилась еще дома, не давая девушке дочесать свои косы, и теперь насквозь светилась порывистой РАДОСТЬЮ.",Том второй,Часть первая,XII
Пьер Безухов; Наташа,"Наташа с РАДОСТЬЮ смотрела на знакомое лицо Пьера, этого шута горохового, как называла его Перонская, и знала, что Пьер их, и в особенности ее, отыскивал в толпе. Пьер обещал ей быть на бале и представить ей кавалеров.",Том второй,Часть третья,XV
Пьер Безухов; Наташа,"«Как могут они быть недовольны чем-то, — думала Наташа. — Особенно такой хороший, как этот Безухов?» На глаза Наташи, все бывшие на бале были одинаково добрые, милые, прекрасные люди, любящие друг друга: никто не мог обидеть друг друга, и потому все должны были быть СЧАСТЛИВЫ.",Том второй,Часть третья,XVII
Соня; Марья; Пьер Безухов; Наташа,"— Душой РАДА, что приехали и что у меня остановились, — говорила она. — Давно пора, — сказала она, значительно взглянув на Наташу... — Старик здесь, и сына ждут со дня на день. Надо, надо с ним познакомиться. Ну, да об этом после поговорим, — прибавила она, оглянув Соню взглядом, показывавшим, что она при ней не желает говорить об этом. — Теперь слушай, — обратилась она к графу, — завтра что же тебе надо? За кем пошлешь? Шиншина? — она загнула один палец, — плаксу Анну Михайловну — два. Она здесь с сыном. Женится сын-то! Потом Безухова, что ль? И он здесь с женой. Он от нее убежал, а она за ним прискакала. Он обедал у меня в середу. Ну, а их, — она указала на барышень, — завтра свожу к Иверской, а потом и к Обер-Шельме заедем. Ведь небось все новое делать будете? С меня не берите, нынче рукава — вот что! Намедни княжна Ирина Васильевна молодая ко мне приехала: страх глядеть, точно два бочонка на руки надела. Ведь нынче что день — новая мода. Да у тебя-то у самого какие дела? — обратилась она строго к графу.",Том второй,Часть пятая,VI
Пьер Безухов; Наташа,"С лица Наташи не сходила улыбка удовольствия. Она чувствовала себя СЧАСТЛИВОЙ и расцветающей под похвалами этой милой графини Безуховой, казавшейся ей прежде такой неприступной и важной дамой и бывшей теперь такою доброй с ней. Наташе стало весело, и она чувствовала себя почти влюбленной в эту такую красивую и такую добродушную женщину. Элен с своей стороны искренно восхищалась Наташей и желала повеселить ее. Анатоль просил ее свести его с Наташей, и для этого она приехала к Ростовым. Мысль свести брата с Наташей забавляла ее.",Том второй,Часть пятая,XII
Пьер Безухов; Наташа,"— Беда, беда, mon cher 1, — говорил он Пьеру, — беда с этими девками без матери; уж я так тужу, что приехал. Я с вами откровенен буду. Слышали, отказала жениху, ни у кого не спросивши ничего. Оно, положим, я никогда этому браку очень не РАДОВАЛСЯ. Положим, он хороший человек, но что ж, против воли отца СЧАСТЬЯ бы не было, и Наташа без женихов не останется. Да все-таки долго уже так продолжалось, да и как же это без отца, без матери, такой шаг! А теперь больна и Бог знает что! Плохо, граф, плохо с дочерьми без матери... — Пьер видел, что граф был очень расстроен, старался перевести разговор на другой предмет, но граф опять возвращался к своему горю.",Том второй,Часть пятая,XIX
